order_id,customer_id,product_id,quantity,price,order_date,status
1,10,101,2,29.99,2024-01-15 10:30:00,completed
2,20,102,1,49.99,2024-01-16 11:00:00,completed
3,10,103,3,9.99,2024-02-01 09:15:00,pending
4,30,101,1,29.99,2024-02-10 14:30:00,completed
5,20,104,2,19.99,2024-03-01 16:45:00,shipped
6,40,102,1,49.99,2024-03-15 08:00:00,completed
7,10,105,5,5.99,2024-04-01 12:00:00,pending
8,50,103,2,9.99,2024-04-15 10:30:00,completed
9,30,106,1,99.99,2024-05-01 09:00:00,shipped
10,20,101,3,29.99,2024-05-15 11:30:00,completed
